pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_masse,pl_dens,pl_insol,pl_eqt,pl_orbincl,st_teff,st_rad,st_mass,st_lum,st_met,st_logg,sy_dist,sy_plx,sy_dist.1,discoverymethod,disc_year,pl_type
Kepler-28 c,Kepler-28,8.99,0.07519,0.017,1.857,2.06,2.06,1.76436,31.2,509.0,89.98,4499.3,0.66,0.68,-0.745,0.02,4.68,438.359,2.25265,438.359,Transit,2011,Unknown
Kepler-280 b,Kepler-280,2.13953869,0.0321,0.0,1.606,154.52125475999992,,,774.8,1425.0,87.19,5451.96,1.04,0.95,-0.064,0.121,4.38,780.361,1.2528,780.361,Transit,2014,Unknown
Kepler-280 c,Kepler-280,4.80709998,0.05504,0.0,2.087,142.1728287199999,,,262.9,1088.0,86.65,5451.96,1.04,0.95,-0.064,0.121,4.38,780.361,1.2528,780.361,Transit,2014,Unknown
Kepler-281 b,Kepler-281,14.64614111,0.1166,0.0,3.245,191.96929057999975,,,118.25,694.0,88.09,5461.0,1.32,0.95,0.146,0.0,4.17,1745.45,0.54496,1745.45,Transit,2014,Unknown
Kepler-281 c,Kepler-281,36.33755487,0.2137,0.0,7.747,342.19172571999985,,,35.2,513.0,88.17,5461.0,1.32,0.95,0.146,0.0,4.17,1745.45,0.54496,1745.45,Transit,2014,Unknown
Kepler-281 d,Kepler-281,148.2720032,0.5456,0.0,5.937,380.3048408800004,,,2.51,321.0,89.66,5717.0,0.88,0.98,0.146,0.0,4.54,1745.45,0.54496,1745.45,Transit,2021,Unknown
Kepler-282 b,Kepler-282,9.22046636,0.08187,0.0,1.327,120.67459460000028,,,174.5,817.0,89.85,5848.0,1.1,1.06,0.106,-0.2,4.38,1337.61,0.718924,1337.61,Transit,2014,Unknown
Kepler-282 c,Kepler-282,13.6382298,0.10628,0.0,1.554,121.20825502000024,,,103.4,717.0,89.69,5848.0,1.1,1.06,0.106,-0.2,4.38,1337.61,0.718924,1337.61,Transit,2014,Unknown
Kepler-282 d,Kepler-282,24.805734,0.15837,0.0,2.928,61.0,61.0,,46.7,588.0,89.99,5848.0,1.1,1.06,0.106,-0.2,4.38,1337.61,0.718924,1337.61,Transit,2013,Unknown
Kepler-282 e,Kepler-282,44.34738481,0.23332,0.0,3.295,56.2,56.2,,21.5,484.0,89.7,5848.0,1.1,1.06,0.106,-0.2,4.38,1337.61,0.718924,1337.61,Transit,2013,Unknown
Kepler-283 b,Kepler-283,11.008163,0.0816,0.0,2.371,75.34466334000003,,,16.26,488.0,89.97,4250.0,0.63,0.66,-0.931,-0.2,4.66,468.094,2.10822,468.094,Transit,2014,Unknown
